Drive Train,Nacelle / Yaw,Rotor Hub,Power Characteristics,Tower,Turbine Performance,Est. Residual time,Downtime,Revenue Loss,Availability,Efficiency,Mean time between failures
96.27009468,97.68205681,98.38803787,99.09401894,99.8,96.97607574,284.4521451,21.3247633,938.2895852,0.991048227,0.442167199,347.8405087
72.63372106,94.36674421,99.8,78.06697685,83.50023263,88.93348842,191.7409462,80.41569735,3538.290684,0.934320931,0.392530814,270.7859306
85.88903706,91.45342223,94.23561482,97.01780741,99.8,88.67122965,242.4566397,47.27740735,2080.205924,0.966133689,0.420366978,313.9982608
84.36584156,93.62633662,96.71316831,99.8,87.45267325,90.53950494,236.4582957,51.08539609,2247.757428,0.96247802,0.417168267,309.0326435
43.70489332,99.8,54.92391465,66.14293599,77.36195733,88.58097866,94.15932683,152.7377667,6720.461735,0.864891744,0.331780276,176.4779522
69.93879901,93.8277598,99.8,75.9110392,81.8832794,87.8555196,181.8556059,87.15300249,3834.732109,0.927853118,0.386871478,262.0004848
44.11231073,55.24984858,66.38738644,77.52492429,88.66246215,99.8,95.39046939,151.7192232,6675.64582,0.865869546,0.332635853,177.806133
52.14564342,99.8,61.67651474,71.20738605,80.73825737,90.26912868,120.5664566,131.6358914,5791.979223,0.885149544,0.349505851,203.9947976
44.11822885,77.52729154,88.66364577,99.8,55.25458308,66.39093731,95.40838654,151.7044279,6674.994827,0.865883749,0.332648281,177.8254261
25.85065844,40.64052675,55.43039506,70.22026337,85.01013169,99.8,45.14207395,197.3733539,8684.427572,0.82204158,0.294286383,118.2731465
79.73972032,99.8,83.75177625,87.76383219,91.77588813,95.78794406,218.5072473,62.6506992,2756.630765,0.951375329,0.407453413,293.9514882
15.16838504,82.87367701,99.8,32.09470803,49.02103102,65.94735402,21.40111186,224.0790374,9859.477646,0.796404124,0.271853609,83.44893523
35.96945078,99.8,48.73556063,61.50167047,74.26778031,87.03389016,71.68504859,172.076373,7571.360414,0.846326682,0.315535847,151.2604095
61.5993025,69.239442,76.8795815,84.519721,92.1598605,99.8,152.2395064,108.0017438,4752.076725,0.907838326,0.369358535,234.8137261
85.91680308,94.24672123,97.02336062,99.8,88.69344247,91.47008185,242.56638,47.20799229,2077.151661,0.966200327,0.420425286,314.088778
54.79706818,99.8,63.79765454,72.79824091,81.79882727,90.79941364,129.2354046,125.0073296,5500.322501,0.891512964,0.355073843,212.6384423
71.2926893,88.39707572,94.09853786,99.8,76.99415144,82.69561358,186.803174,83.76827676,3685.804177,0.931102454,0.389714648,266.4141671
34.49272721,47.55418177,60.61563633,73.67709088,86.73854544,99.8,67.59892693,175.768182,7733.800007,0.842782545,0.312434727,146.4462907
84.64827824,96.76965565,99.8,87.67862259,90.70896695,93.7393113,237.5672854,50.37930439,2216.689393,0.963155868,0.417761384,309.9533871
71.81159568,99.8,77.40927655,83.00695741,88.60463827,94.20231914,188.709456,82.47101079,3628.724475,0.93234783,0.390804351,268.1058019
58.15232359,83.14092943,91.47046472,99.8,66.48185887,74.81139415,140.4478697,116.619191,5131.244406,0.899565577,0.36211988,223.5765749
78.61472084,99.8,82.85177667,87.0888325,91.32588833,95.56294417,214.2035588,65.46319791,2880.380708,0.94867533,0.405090914,290.2839899
96.30348798,99.1006976,99.8,97.00279038,97.70209279,98.40139519,284.5902902,21.24128005,934.6163222,0.991128371,0.442237325,347.9493708
76.95699502,90.66279801,95.231399,99.8,81.52559602,86.09419701,207.9067533,69.60751244,3062.730547,0.944696788,0.40160969,284.8798038
68.81127936,81.20676762,87.40451174,93.60225587,99.8,75.00902349,177.7643791,89.9718016,3958.75927,0.92514707,0.384503687,258.3247707
68.26404634,80.8784278,87.18561854,93.49280927,99.8,74.57123707,175.7883514,91.33988415,4018.954903,0.923833711,0.383354497,256.5407911
9.695801253,45.73748075,63.7583205,81.77916025,99.8,27.716641,11.43769315,237.7604969,10461.46186,0.783269923,0.260361183,65.60831208
